
R:323 G:480 B:573 C:1503 cur_avg1502 prev_avg1502 read_idx8 Time:30.8530006408 Measured Time: 0  
R:323 G:480 B:573 C:1503 cur_avg1502 prev_avg1502 read_idx9 Time:31.0109996795 Measured Time: 0  
R:323 G:480 B:573 C:1503 cur_avg1502 prev_avg1502 read_idx10 Time:31.1700000762 Measured Time: 0  
R:323 G:480 B:573 C:1503 cur_avg1502 prev_avg1502 read_idx0 Time:31.3299999237 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1502 prev_avg1502 read_idx1 Time:31.4880008697 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1502 prev_avg1502 read_idx2 Time:31.6469993591 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1502 prev_avg1502 read_idx3 Time:31.8059997558 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1502 prev_avg1502 read_idx4 Time:31.9650001525 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1502 prev_avg1502 read_idx5 Time:32.1230010986 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1502 prev_avg1502 read_idx6 Time:32.2820014953 Measured Time: 0  
R:323 G:480 B:573 C:1502 cur_avg1502 prev_avg1502 read_idx7 Time:32.4410018920 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1502 prev_avg1502 read_idx8 Time:32.5999984741 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1502 read_idx9 Time:32.7579994201 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1501 prev_avg1501 read_idx10 Time:32.9169998168 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx0 Time:33.0769996643 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1501 prev_avg1501 read_idx1 Time:33.2350006103 Measured Time: 0  
R:323 G:480 B:573 C:1502 cur_avg1501 prev_avg1501 read_idx2 Time:33.3940010070 Measured Time: 0  
R:322 G:480 B:573 C:1502 cur_avg1501 prev_avg1501 read_idx3 Time:33.5530014038 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx4 Time:33.7120018005 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx5 Time:33.8699989318 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx6 Time:34.0289993286 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx7 Time:34.1879997253 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx8 Time:34.3460006713 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx9 Time:34.5050010681 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx10 Time:34.6640014648 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx0 Time:34.8240013122 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx1 Time:34.9819984436 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx2 Time:35.1409988403 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx3 Time:35.2999992370 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx4 Time:35.4589996337 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx5 Time:35.6170005798 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx6 Time:35.7760009765 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1501 prev_avg1501 read_idx7 Time:35.9350013732 Measured Time: 0  
R:322 G:479 B:572 C:1500 cur_avg1500 prev_avg1501 read_idx8 Time:36.0929985046 Measured Time: 0  
R:322 G:480 B:573 C:1500 cur_avg1500 prev_avg1500 read_idx9 Time:36.2519989013 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1500 prev_avg1500 read_idx10 Time:36.4109992980 Measured Time: 0  
R:322 G:479 B:572 C:1500 cur_avg1500 prev_avg1500 read_idx0 Time:36.5709991455 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1500 prev_avg1500 read_idx1 Time:36.7290000915 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1500 prev_avg1500 read_idx2 Time:36.8880004882 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1500 prev_avg1500 read_idx3 Time:37.0470008850 Measured Time: 0  
R:322 G:480 B:573 C:1500 cur_avg1500 prev_avg1500 read_idx4 Time:37.2050018310 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1500 prev_avg1500 read_idx5 Time:37.3639984130 Measured Time: 0  
R:322 G:480 B:573 C:1501 cur_avg1500 prev_avg1500 read_idx6 Time:37.5229988098 Measured Time: 0  
