R:334 G:443 B:525 C:1402 cur_avg1402 prev_avg1402 read_idx5 Time:28.6270008087 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx6 Time:28.7849998474 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1402 prev_avg1402 read_idx7 Time:28.9440002441 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1402 read_idx8 Time:29.1030006408 Measured Time: 0  
R:334 G:443 B:525 C:1404 cur_avg1402 prev_avg1402 read_idx9 Time:29.2609996795 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1402 prev_avg1402 read_idx10 Time:29.4200000762 Measured Time: 0  
R:334 G:442 B:523 C:1399 cur_avg1402 prev_avg1402 read_idx0 Time:29.5799999237 Measured Time: 0  
R:334 G:441 B:520 C:1395 cur_avg1401 prev_avg1402 read_idx1 Time:29.7399997711 Measured Time: 0  
R:334 G:440 B:519 C:1394 cur_avg1400 prev_avg1401 read_idx2 Time:29.8980007171 Measured Time: 0  
R:334 G:441 B:522 C:1398 cur_avg1400 prev_avg1400 read_idx3 Time:30.0569992065 Measured Time: 0  
R:334 G:442 B:523 C:1401 cur_avg1400 prev_avg1400 read_idx4 Time:30.2159996032 Measured Time: 0  
R:334 G:443 B:525 C:1403 cur_avg1400 prev_avg1400 read_idx5 Time:30.3740005493 Measured Time: 0  
R:334 G:443 B:524 C:1402 cur_avg1400 prev_avg1400 read_idx6 Time:30.5330009460 Measured Time: 0  
R:334 G:443 B:523 C:1401 cur_avg1400 prev_avg1400 read_idx7 Time:30.6919994354 Measured Time: 0  
R:334 G:442 B:523 C:1401 cur_avg1400 prev_avg1400 read_idx8 Time:30.8509998321 Measured Time: 0  
R:334 G:442 B:523 C:1401 cur_avg1399 prev_avg1400 read_idx9 Time:31.0090007781 Measured Time: 0  
R:334 G:441 B:522 C:1398 cur_avg1399 prev_avg1399 read_idx10 Time:31.1679992675 Measured Time: 0  
R:334 G:441 B:521 C:1396 cur_avg1399 prev_avg1399 read_idx0 Time:31.3279991149 Measured Time: 0  
R:334 G:440 B:520 C:1394 cur_avg1399 prev_avg1399 read_idx1 Time:31.4869995117 Measured Time: 0  
R:334 G:440 B:519 C:1394 cur_avg1399 prev_avg1399 read_idx2 Time:31.6450004577 Measured Time: 0  
R:334 G:441 B:522 C:1398 cur_avg1399 prev_avg1399 read_idx3 Time:31.8040008544 Measured Time: 0  
R:334 G:441 B:522 C:1398 cur_avg1398 prev_avg1399 read_idx4 Time:31.9629993438 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1398 prev_avg1398 read_idx5 Time:32.1209983825 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1398 prev_avg1398 read_idx6 Time:32.2799987792 Measured Time: 0  
R:334 G:442 B:524 C:1401 cur_avg1398 prev_avg1398 read_idx7 Time:32.4389991760 Measured Time: 0  
R:334 G:442 B:524 C:1400 cur_avg1398 prev_avg1398 read_idx8 Time:32.5979995727 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1398 prev_avg1398 read_idx9 Time:32.7560005187 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1398 prev_avg1398 read_idx10 Time:32.9150009155 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1398 prev_avg1398 read_idx0 Time:33.0750007629 Measured Time: 0  
R:334 G:442 B:524 C:1401 cur_avg1399 prev_avg1398 read_idx1 Time:33.2330017089 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1399 prev_avg1399 read_idx2 Time:33.3919982910 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1400 prev_avg1399 read_idx3 Time:33.5509986877 Measured Time: 0  
R:334 G:442 B:524 C:1400 cur_avg1400 prev_avg1400 read_idx4 Time:33.7099990844 Measured Time: 0  
R:333 G:442 B:524 C:1400 cur_avg1400 prev_avg1400 read_idx5 Time:33.8680000305 Measured Time: 0  
R:333 G:442 B:523 C:1400 cur_avg1400 prev_avg1400 read_idx6 Time:34.0270004272 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1400 prev_avg1400 read_idx7 Time:34.1860008239 Measured Time: 0  
R:333 G:442 B:523 C:1400 cur_avg1400 prev_avg1400 read_idx8 Time:34.3450012207 Measured Time: 0  
R:333 G:441 B:523 C:1399 cur_avg1400 prev_avg1400 read_idx9 Time:34.5029983520 Measured Time: 0  
R:333 G:442 B:523 C:1400 cur_avg1400 prev_avg1400 read_idx10 Time:34.6619987487 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1400 prev_avg1400 read_idx0 Time:34.8219985961 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1399 prev_avg1400 read_idx1 Time:34.9799995422 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1399 prev_avg1399 read_idx2 Time:35.1389999389 Measured Time: 0  
R:334 G:442 B:523 C:1400 cur_avg1399 prev_avg1399 read_idx3 Time:35.2980003356 Measured Time: 0  
R:333 G:441 B:523 C:1399 cur_avg1399 prev_avg1399 read_idx4 Time:35.4570007324 Measured Time: 0  
R:333 G:441 B:523 C:1399 cur_avg1399 prev_avg1399 read_idx5 Time:35.6150016784 Measured Time: 0  
R:333 G:441 B:523 C:1399 cur_avg1399 prev_avg1399 read_idx6 Time:35.7739982604 Measured Time: 0  
R:333 G:441 B:522 C:1398 cur_avg1399 prev_avg1399 read_idx7 Time:35.9329986572 Measured Time: 0  
R:333 G:441 B:522 C:1398 cur_avg1399 prev_avg1399 read_idx8 Time:36.0909996032 Measured Time: 0  
R:333 G:441 B:522 C:1397 cur_avg1399 prev_avg1399 read_idx9 Time:36.2500000000 Measured Time: 0  
R:333 G:441 B:521 C:1397 cur_avg1398 prev_avg1399 read_idx10 Time:36.4090003967 Measured Time: 0  
R:333 G:440 B:520 C:1394 cur_avg1398 prev_avg1398 read_idx0 Time:36.5690002441 Measured Time: 0  
R:333 G:440 B:521 C:1395 cur_avg1397 prev_avg1398 read_idx1 Time:36.7270011901 Measured Time: 0  
R:333 G:440 B:521 C:1395 cur_avg1397 prev_avg1397 read_idx2 Time:36.8860015869 Measured Time: 0  
R:333 G:441 B:521 C:1396 cur_avg1397 prev_avg1397 read_idx3 Time:37.0449981689 Measured Time: 0  
R:333 G:441 B:522 C:1397 cur_avg1396 prev_avg1397 read_idx4 Time:37.2039985656 Measured Time: 0  
R:333 G:441 B:522 C:1398 cur_avg1396 prev_avg1396 read_idx5 Time:37.3619995117 Measured Time: 0  
R:333 G:441 B:523 C:1398 cur_avg1396 prev_avg1396 read_idx6 Time:37.5209999084 Measured Time: 0  
