R:332 G:455 B:541 C:1446 cur_avg1445 prev_avg1445 read_idx5 Time:31.2900009155 
R:332 G:455 B:541 C:1446 cur_avg1445 prev_avg1445 read_idx6 Time:31.4309997558 
R:332 G:455 B:541 C:1446 cur_avg1445 prev_avg1445 read_idx7 Time:31.5699996948 
R:332 G:455 B:541 C:1446 cur_avg1445 prev_avg1445 read_idx8 Time:31.7099990844 
R:332 G:454 B:541 C:1446 cur_avg1445 prev_avg1445 read_idx9 Time:31.8509998321 
R:332 G:455 B:541 C:1446 cur_avg1445 prev_avg1445 read_idx10 Time:31.9909992218 
R:332 G:454 B:541 C:1445 cur_avg1445 prev_avg1445 read_idx0 Time:32.1310005187 
R:332 G:454 B:541 C:1445 cur_avg1445 prev_avg1445 read_idx1 Time:32.2709999084 
R:332 G:454 B:541 C:1445 cur_avg1445 prev_avg1445 read_idx2 Time:32.4119987487 
R:332 G:454 B:541 C:1445 cur_avg1445 prev_avg1445 read_idx3 Time:32.5509986877 
R:332 G:454 B:541 C:1445 cur_avg1445 prev_avg1445 read_idx4 Time:32.6910018920 
R:332 G:454 B:540 C:1444 cur_avg1445 prev_avg1445 read_idx5 Time:32.8320007324 
R:332 G:454 B:540 C:1444 cur_avg1445 prev_avg1445 read_idx6 Time:32.9720001220 
R:332 G:454 B:540 C:1444 cur_avg1445 prev_avg1445 read_idx7 Time:33.1110000610 
R:332 G:454 B:540 C:1444 cur_avg1444 prev_avg1445 read_idx8 Time:33.2509994506 
R:332 G:454 B:540 C:1444 cur_avg1444 prev_avg1444 read_idx9 Time:33.3919982910 
R:332 G:454 B:540 C:1444 cur_avg1444 prev_avg1444 read_idx10 Time:33.5320014953 
R:332 G:454 B:540 C:1443 cur_avg1444 prev_avg1444 read_idx0 Time:33.6720008850 
R:332 G:454 B:540 C:1444 cur_avg1444 prev_avg1444 read_idx1 Time:33.8129997253 
R:332 G:454 B:540 C:1444 cur_avg1444 prev_avg1444 read_idx2 Time:33.9529991149 
R:332 G:454 B:540 C:1444 cur_avg1444 prev_avg1444 read_idx3 Time:34.0919990539 
R:332 G:454 B:540 C:1443 cur_avg1443 prev_avg1444 read_idx4 Time:34.2319984436 
R:332 G:454 B:540 C:1444 cur_avg1443 prev_avg1443 read_idx5 Time:34.3730010986 
R:332 G:454 B:540 C:1444 cur_avg1443 prev_avg1443 read_idx6 Time:34.5130004882 
R:332 G:454 B:540 C:1444 cur_avg1443 prev_avg1443 read_idx7 Time:34.6520004272 
R:332 G:454 B:540 C:1444 cur_avg1443 prev_avg1443 read_idx8 Time:34.7929992675 
R:332 G:454 B:540 C:1444 cur_avg1443 prev_avg1443 read_idx9 Time:34.9329986572 
R:332 G:454 B:540 C:1444 cur_avg1443 prev_avg1443 read_idx10 Time:35.0730018615 
R:332 G:454 B:540 C:1444 cur_avg1443 prev_avg1443 read_idx0 Time:35.2130012512 
R:332 G:453 B:540 C:1443 cur_avg1443 prev_avg1443 read_idx1 Time:35.3540000915 
R:332 G:453 B:539 C:1442 cur_avg1443 prev_avg1443 read_idx2 Time:35.4939994812 
R:332 G:453 B:539 C:1442 cur_avg1443 prev_avg1443 read_idx3 Time:35.6329994201 
R:332 G:453 B:539 C:1442 cur_avg1443 prev_avg1443 read_idx4 Time:35.7729988098 
R:331 G:453 B:539 C:1442 cur_avg1443 prev_avg1443 read_idx5 Time:35.9140014648 
R:332 G:453 B:540 C:1443 cur_avg1443 prev_avg1443 read_idx6 Time:36.0540008544 
R:332 G:453 B:540 C:1443 cur_avg1443 prev_avg1443 read_idx7 Time:36.1930007934 
R:331 G:453 B:540 C:1443 cur_avg1442 prev_avg1443 read_idx8 Time:36.3339996337 
R:332 G:453 B:540 C:1443 cur_avg1442 prev_avg1442 read_idx9 Time:36.4739990234 
R:331 G:453 B:540 C:1442 cur_avg1442 prev_avg1442 read_idx10 Time:36.6139984130 
R:332 G:453 B:540 C:1443 cur_avg1442 prev_avg1442 read_idx0 Time:36.7540016174 
R:331 G:453 B:539 C:1442 cur_avg1442 prev_avg1442 read_idx1 Time:36.8950004577 
R:332 G:453 B:539 C:1443 cur_avg1442 prev_avg1442 read_idx2 Time:37.0349998474 
R:332 G:453 B:539 C:1442 cur_avg1442 prev_avg1442 read_idx3 Time:37.1739997863 
R:331 G:453 B:539 C:1442 cur_avg1442 prev_avg1442 read_idx4 Time:37.3149986267 
R:331 G:453 B:539 C:1442 cur_avg1442 prev_avg1442 read_idx5 Time:37.4550018310 
R:331 G:453 B:539 C:1442 cur_avg1442 prev_avg1442 read_idx6 Time:37.5950012207 
R:331 G:453 B:539 C:1441 cur_avg1442 prev_avg1442 read_idx7 Time:37.7340011596 
R:331 G:453 B:539 C:1441 cur_avg1442 prev_avg1442 read_idx8 Time:37.8750000000 
R:331 G:453 B:539 C:1441 cur_avg1441 prev_avg1442 read_idx9 Time:38.0149993896 
R:331 G:453 B:539 C:1441 cur_avg1441 prev_avg1441 read_idx10 Time:38.1539993286 
R:331 G:453 B:539 C:1441 cur_avg1441 prev_avg1441 read_idx0 Time:38.2960014343 
R:331 G:453 B:539 C:1441 cur_avg1441 prev_avg1441 read_idx1 Time:38.4360008239 
R:331 G:453 B:539 C:1441 cur_avg1441 prev_avg1441 read_idx2 Time:38.5760002136 
R:331 G:453 B:539 C:1442 cur_avg1441 prev_avg1441 read_idx3 Time:38.7150001525 
R:331 G:453 B:539 C:1441 cur_avg1441 prev_avg1441 read_idx4 Time:38.8559989929 
R:331 G:453 B:539 C:1441 cur_avg1441 prev_avg1441 read_idx5 Time:38.9959983825 
